system:index,LST_Celsius,data,.geo
2010_01_01,33.293121975638265,2010-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_02,23.338630616088277,2010-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_06,33.04661844008946,2010-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_12,30.386949395432225,2010-01-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_13,32.899777598670155,2010-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_15,36.14044970369345,2010-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_17,37.513787506400455,2010-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_19,28.493437077131276,2010-01-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_22,32.7355632352384,2010-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_24,31.403939657926117,2010-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,34.48288156581293,2010-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_26,31.773877661494062,2010-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_28,30.3905770928101,2010-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_30,32.06225129831572,2010-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_02,33.40344180704443,2010-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_04,36.607994693872335,2010-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_05,38.16936669994065,2010-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_12,28.75825166521869,2010-02-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_13,29.58637213327565,2010-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_14,30.467587873046,2010-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_18,35.34606853590431,2010-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_19,29.75499008810577,2010-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_20,30.891704573547624,2010-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_21,25.416124031007783,2010-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_22,32.4329096859868,2010-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_23,32.76373013363994,2010-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_25,35.2065271559276,2010-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_27,35.620710020916576,2010-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_28,36.12262607245301,2010-02-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_01,32.75373636926502,2010-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_02,38.05780076066771,2010-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_03,34.518221275950545,2010-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_04,39.651819789995145,2010-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_06,39.05978582529915,2010-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_07,35.74782135681888,2010-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_08,36.53004170350924,2010-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_09,39.98260964607475,2010-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_10,34.98271856559814,2010-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_11,40.15440226936739,2010-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_13,41.06240115742795,2010-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_14,30.38911113465416,2010-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_15,38.50056720478405,2010-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_16,38.52701823327989,2010-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_18,35.95170463920803,2010-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_20,35.00759793281656,2010-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_23,32.03000000000003,2010-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_24,31.412169980946263,2010-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_25,34.17805468360375,2010-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_27,35.15000000000003,2010-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_29,34.20576938714666,2010-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_30,31.603968877968917,2010-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_03_31,32.76955953347947,2010-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_01,33.20729858072783,2010-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_02,30.08675417928871,2010-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_05,39.386259334605356,2010-04-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_07,36.84979998124829,2010-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_10,29.60422216597592,2010-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_12,26.735447958757156,2010-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_14,29.899002795185684,2010-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_15,28.2842557498166,2010-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_16,27.689116487335454,2010-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_18,25.760008618213185,2010-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_19,27.680745529008533,2010-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_20,27.18368620563302,2010-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
