system:index,has_data,has_time,mean_LST,timestamp,.geo
2000_02_26,28.0494665664914,9.515232E11,28.0494665664914,9.515232E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_02_28,28.16953666941838,9.51696E11,28.16953666941838,9.51696E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_04,25.04900000000003,9.52128E11,25.04900000000003,9.52128E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,27.92228187919466,9.522144E11,27.92228187919466,9.522144E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_08,29.278566989123387,9.524736E11,29.278566989123387,9.524736E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_11,28.67026745519504,9.527328E11,28.67026745519504,9.527328E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_12,31.063593786029962,9.528192E11,31.063593786029962,9.528192E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_13,29.891701145635906,9.529056E11,29.891701145635906,9.529056E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_15,30.471839487791296,9.530784E11,30.471839487791296,9.530784E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_17,33.86277515372966,9.532512E11,33.86277515372966,9.532512E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,28.75136853117846,9.535968E11,28.75136853117846,9.535968E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_22,31.561128856486672,9.536832E11,31.561128856486672,9.536832E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_24,31.61933333333337,9.53856E11,31.61933333333337,9.53856E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_27,25.670000000000016,9.541152E11,25.670000000000016,9.541152E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_04,33.98008873688592,9.548064E11,33.98008873688592,9.548064E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_05,31.045155100232915,9.548928E11,31.045155100232915,9.548928E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,24.730985203221607,9.549792E11,24.730985203221607,9.549792E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_07,33.11213657912498,9.550656E11,33.11213657912498,9.550656E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_09,30.60140400026063,9.552384E11,30.60140400026063,9.552384E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_14,24.978750052413133,9.556704E11,24.978750052413133,9.556704E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_16,31.600000000000023,9.558432E11,31.600000000000023,9.558432E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_18,28.230000000000018,9.56016E11,28.230000000000018,9.56016E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_20,27.58120413922863,9.561888E11,27.58120413922863,9.561888E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,28.085273011463446,9.563616E11,28.085273011463446,9.563616E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_23,29.209484282670235,9.56448E11,29.209484282670235,9.56448E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_24,27.068721574845956,9.565344E11,27.068721574845956,9.565344E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_29,27.462260118235584,9.569664E11,27.462260118235584,9.569664E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_02,28.517861757768465,9.572256E11,28.517861757768465,9.572256E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_10,23.440347965080555,9.579168E11,23.440347965080555,9.579168E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_15,29.503527009226794,9.583488E11,29.503527009226794,9.583488E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
