date,image_index,lst_mean_celsius
2000-02-26,2000_02_26,28.0494665664914
2000-02-28,2000_02_28,28.16953666941838
2000-03-04,2000_03_04,25.04900000000003
2000-03-05,2000_03_05,27.92228187919466
2000-03-08,2000_03_08,29.278566989123387
2000-03-11,2000_03_11,28.67026745519504
2000-03-12,2000_03_12,31.06359378602996
2000-03-13,2000_03_13,29.891701145635903
2000-03-15,2000_03_15,30.471839487791296
2000-03-17,2000_03_17,33.86277515372966
2000-03-21,2000_03_21,28.75136853117846
2000-03-22,2000_03_22,31.561128856486672
2000-03-24,2000_03_24,31.61933333333337
2000-03-27,2000_03_27,25.670000000000016
2000-04-04,2000_04_04,33.98008873688592
2000-04-05,2000_04_05,31.045155100232915
2000-04-06,2000_04_06,24.730985203221607
2000-04-07,2000_04_07,33.11213657912498
2000-04-09,2000_04_09,30.60140400026063
2000-04-14,2000_04_14,24.978750052413133
2000-04-16,2000_04_16,31.600000000000023
2000-04-18,2000_04_18,28.230000000000015
2000-04-20,2000_04_20,27.58120413922863
2000-04-22,2000_04_22,28.08527301146345
2000-04-23,2000_04_23,29.209484282670235
2000-04-24,2000_04_24,27.068721574845956
2000-04-29,2000_04_29,27.462260118235584
2000-05-02,2000_05_02,28.517861757768465
2000-05-10,2000_05_10,23.440347965080555
2000-05-15,2000_05_15,29.503527009226794
2000-05-18,2000_05_18,26.690000000000055
2000-05-20,2000_05_20,30.83089437956646
2000-05-22,2000_05_22,26.190000000000023
2000-05-24,2000_05_24,27.02265453353013
2000-05-25,2000_05_25,30.27694863609985
2000-05-27,2000_05_27,33.400209522485824
2000-05-30,2000_05_30,32.04953154827694
2000-05-31,2000_05_31,32.15812556762095
2000-06-02,2000_06_02,31.047211736797095
2000-06-03,2000_06_03,32.83685452210119
2000-06-10,2000_06_10,25.667500000000025
2000-06-17,2000_06_17,27.14273307701271
2000-06-20,2000_06_20,28.12946753922812
2000-06-21,2000_06_21,31.647643912193384
2000-06-22,2000_06_22,30.369351164863684
2000-06-23,2000_06_23,30.495998875863208
2000-06-24,2000_06_24,29.8968736593598
2000-06-25,2000_06_25,30.538054722863585
2000-06-28,2000_06_28,25.786336857230857
2000-06-30,2000_06_30,30.649778107506624
2000-07-02,2000_07_02,27.292748091603094
2000-07-07,2000_07_07,30.533762836872093
2000-07-16,2000_07_16,29.95530137498444
2000-07-17,2000_07_17,29.513752831064775
2000-07-18,2000_07_18,32.42325908072917
2000-07-23,2000_07_23,28.31130612244901
2000-07-24,2000_07_24,31.66470104265921
2000-07-25,2000_07_25,33.94004694101083
2000-08-04,2000_08_04,32.948159057670004
2000-08-19,2000_08_19,33.23000000000002
2000-08-20,2000_08_20,32.41470211186427
2000-08-22,2000_08_22,35.50002559934786
2000-08-23,2000_08_23,30.50417523153843
2000-08-24,2000_08_24,36.6402652120103
2000-08-26,2000_08_26,36.07455375186752
2000-08-27,2000_08_27,36.5486150604751
2000-08-28,2000_08_28,32.69443024740519
2000-08-29,2000_08_29,38.76375545285979
2000-08-31,2000_08_31,36.631624344984345
2000-09-02,2000_09_02,37.95831129019514
2000-09-03,2000_09_03,34.64934448807079
2000-09-04,2000_09_04,36.56168284493191
2000-09-05,2000_09_05,32.48384615384619
2000-09-11,2000_09_11,34.085208167938674
2000-09-12,2000_09_12,36.50880873042321
2000-09-13,2000_09_13,34.21575318053567
2000-09-14,2000_09_14,32.300000000000026
2000-09-16,2000_09_16,33.60250745459477
2000-09-20,2000_09_20,32.99000000000003
2000-09-21,2000_09_21,36.36208508514508
2000-09-23,2000_09_23,36.74703243526031
2000-09-24,2000_09_24,31.39833691616182
2000-09-25,2000_09_25,39.8379848120491
2000-09-26,2000_09_26,34.471520356686135
2000-09-29,2000_09_29,33.3519214112419
2000-10-01,2000_10_01,33.951087886991196
2000-10-02,2000_10_02,42.505628993894085
2000-10-04,2000_10_04,43.50100528465427
2000-10-05,2000_10_05,38.42695511676468
2000-10-06,2000_10_06,39.06402274959968
2000-10-07,2000_10_07,39.75304147174305
2000-10-08,2000_10_08,33.82317504079998
2000-10-10,2000_10_10,31.190125673249543
2000-10-11,2000_10_11,39.55281197282636
2000-10-13,2000_10_13,39.294285888523014
2000-10-14,2000_10_14,37.61313144056542
2000-10-15,2000_10_15,39.896015850804126
2000-10-16,2000_10_16,40.83396335350465
2000-10-17,2000_10_17,36.86879466922744
2000-10-18,2000_10_18,40.189593531468574
2000-10-21,2000_10_21,35.97040000000005
2000-10-22,2000_10_22,38.24680651148085
2000-10-23,2000_10_23,37.037471325972795
2000-10-24,2000_10_24,37.06003231441329
2000-10-25,2000_10_25,42.82726465993468
2000-10-30,2000_10_30,38.29257967677725
2000-11-01,2000_11_01,42.42189134844469
2000-11-05,2000_11_05,42.59411597760715
2000-11-06,2000_11_06,40.23128958119528
2000-11-07,2000_11_07,40.579315142919455
2000-11-12,2000_11_12,43.333396330118674
2000-11-14,2000_11_14,43.28787634603908
2000-11-15,2000_11_15,33.08959261489066
2000-11-16,2000_11_16,40.11138866689621
2000-11-17,2000_11_17,39.93000000000001
2000-11-19,2000_11_19,38.08021856043463
2000-11-21,2000_11_21,41.76656408808584
2000-11-22,2000_11_22,39.688706286306314
2000-11-23,2000_11_23,41.146332461619394
2000-11-24,2000_11_24,42.58185613610592
2000-11-29,2000_11_29,38.0566838064223
2000-11-30,2000_11_30,44.47466685829994
2000-12-01,2000_12_01,41.81051349276793
2000-12-02,2000_12_02,39.58588510852024
2000-12-03,2000_12_03,42.689210555410014
2000-12-04,2000_12_04,35.8619469046832
2000-12-05,2000_12_05,42.77439078012622
2000-12-07,2000_12_07,43.71083216854303
2000-12-08,2000_12_08,38.27249593998919
2000-12-09,2000_12_09,41.50203688202244
2000-12-10,2000_12_10,42.879368779159584
2000-12-11,2000_12_11,38.8122980817714
2000-12-19,2000_12_19,34.06238452213967
2000-12-20,2000_12_20,33.23904765665225
2000-12-21,2000_12_21,36.43262062075989
2000-12-23,2000_12_23,36.072275528544395
2000-12-25,2000_12_25,34.80611866939166
2000-12-26,2000_12_26,31.11007858460875
2000-12-27,2000_12_27,29.089484215206788
2000-12-28,2000_12_28,33.165070970812764
2000-12-31,2000_12_31,32.36633262607019
2001-01-01,2001_01_01,36.76630004706588
2001-01-02,2001_01_02,33.47270487116879
2001-01-03,2001_01_03,33.3891589502881
2001-01-06,2001_01_06,35.739808952408865
2001-01-08,2001_01_08,38.031206404760916
2001-01-09,2001_01_09,34.02548732595507
2001-01-15,2001_01_15,32.55303375874158
2001-01-17,2001_01_17,35.948155519826145
2001-01-19,2001_01_19,32.90804471240099
2001-01-20,2001_01_20,36.452058267025095
2001-01-22,2001_01_22,36.9883757978968
2001-01-24,2001_01_24,37.93719711160315
2001-01-25,2001_01_25,32.174000000000035
2001-01-26,2001_01_26,35.70924371460277
2001-01-27,2001_01_27,29.25707415990733
2001-01-28,2001_01_28,31.014576047819627
2001-01-29,2001_01_29,36.526631972632295
2001-01-30,2001_01_30,30.17060691601977
2001-01-31,2001_01_31,33.162620038729564
2001-02-05,2001_02_05,33.05107000824445
2001-02-06,2001_02_06,30.27421812127101
2001-02-07,2001_02_07,38.30117459272876
2001-02-09,2001_02_09,38.27604429836085
2001-02-10,2001_02_10,35.78853558533939
2001-02-11,2001_02_11,37.00640014568412
2001-02-14,2001_02_14,36.47727774200354
2001-02-16,2001_02_16,40.86351457470334
2001-02-17,2001_02_17,35.955017433795376
2001-02-19,2001_02_19,31.234767381974272
2001-02-20,2001_02_20,35.504098390212526
2001-02-21,2001_02_21,37.96226037958009
2001-02-23,2001_02_23,38.7104294322421
2001-02-25,2001_02_25,40.55241899446052
2001-03-02,2001_03_02,33.25001190476193
2001-03-04,2001_03_04,36.893608099681714
2001-03-05,2001_03_05,34.84838255858305
2001-03-06,2001_03_06,37.219662899052935
2001-03-07,2001_03_07,36.27733328696702
2001-03-11,2001_03_11,29.298785310734484
2001-03-17,2001_03_17,28.95737187437482
2001-03-20,2001_03_20,26.64916373363371
2001-03-22,2001_03_22,27.66508644729506
2001-03-23,2001_03_23,29.120000000000033
2001-03-24,2001_03_24,30.058865899409557
2001-03-25,2001_03_25,30.60459400714178
2001-03-26,2001_03_26,28.440576919044016
2001-03-27,2001_03_27,31.271511665367672
2001-04-03,2001_04_03,27.968731438642923
2001-04-05,2001_04_05,30.99348733890212
2001-04-08,2001_04_08,30.732152065333658
2001-04-09,2001_04_09,29.332900154970144
2001-04-10,2001_04_10,32.350737847493555
2001-04-12,2001_04_12,32.58945445689239
2001-04-14,2001_04_14,34.652391203403965
2001-04-16,2001_04_16,32.72320793709175
2001-04-17,2001_04_17,29.101063829787265
2001-04-21,2001_04_21,30.01186592917106
2001-04-23,2001_04_23,33.79328236100541
2001-04-25,2001_04_25,28.27000000000004
2001-04-26,2001_04_26,33.72214659685865
2001-04-30,2001_04_30,33.367688723206
2001-05-02,2001_05_02,32.457848027584056
2001-05-04,2001_05_04,32.66650119559216
2001-05-05,2001_05_05,33.21112273732256
